,reviews_nodes_author_login,createdAt_Friday,variable,value
0,christyler3030,2023-08-18,rollingAvg_created,
1,christyler3030,2023-08-25,rollingAvg_created,
2,christyler3030,2023-09-01,rollingAvg_created,
3,christyler3030,2023-09-08,rollingAvg_created,4.5
4,christyler3030,2023-09-11,rollingAvg_created,4.25
5,christyler3030,2023-09-15,rollingAvg_created,3.5
6,christyler3030,2023-09-22,rollingAvg_created,4.0
7,christyler3030,2023-10-06,rollingAvg_created,2.25
8,christyler3030,2023-10-13,rollingAvg_created,2.5
9,christyler3030,2023-10-27,rollingAvg_created,2.75
10,christyler3030,2023-11-03,rollingAvg_created,3.0
11,christyler3030,2023-11-17,rollingAvg_created,3.75
12,christyler3030,2023-11-22,rollingAvg_created,3.5
13,christyler3030,2023-11-24,rollingAvg_created,7.25
14,christyler3030,2023-12-01,rollingAvg_created,7.5
15,christyler3030,2023-12-04,rollingAvg_created,6.75
16,christyler3030,2023-12-08,rollingAvg_created,8.25
17,christyler3030,2023-12-15,rollingAvg_created,4.25
18,christyler3030,2023-12-18,rollingAvg_created,3.0
19,christyler3030,2023-12-22,rollingAvg_created,4.25
20,christyler3030,2024-01-05,rollingAvg_created,3.75
21,christyler3030,2024-01-12,rollingAvg_created,5.25
22,christyler3030,2024-01-19,rollingAvg_created,8.0
23,christyler3030,2024-01-26,rollingAvg_created,6.5
24,christyler3030,2024-02-02,rollingAvg_created,6.25
25,christyler3030,2024-02-09,rollingAvg_created,6.25
26,christyler3030,2024-02-16,rollingAvg_created,7.25
27,christyler3030,2024-02-23,rollingAvg_created,7.75
28,christyler3030,2024-03-08,rollingAvg_created,7.5
29,christyler3030,2024-03-15,rollingAvg_created,5.75
30,christyler3030,2024-03-22,rollingAvg_created,3.75
31,christyler3030,2024-03-29,rollingAvg_created,5.5
32,christyler3030,2024-04-05,rollingAvg_created,5.75
33,danieltremblay,2023-09-08,rollingAvg_created,7.0
34,danieltremblay,2023-09-11,rollingAvg_created,5.5
35,danieltremblay,2023-09-15,rollingAvg_created,6.75
36,danieltremblay,2023-09-18,rollingAvg_created,6.0
37,danieltremblay,2023-09-22,rollingAvg_created,7.75
38,danieltremblay,2023-09-25,rollingAvg_created,7.5
39,danieltremblay,2023-09-27,rollingAvg_created,4.0
40,danieltremblay,2023-09-29,rollingAvg_created,6.5
41,danieltremblay,2023-10-06,rollingAvg_created,4.5
42,danieltremblay,2023-10-13,rollingAvg_created,5.5
43,danieltremblay,2023-10-16,rollingAvg_created,5.5
44,danieltremblay,2023-10-17,rollingAvg_created,4.0
45,danieltremblay,2023-10-18,rollingAvg_created,3.0
46,danieltremblay,2023-10-20,rollingAvg_created,4.75
47,danieltremblay,2023-10-27,rollingAvg_created,9.75
48,danieltremblay,2023-10-30,rollingAvg_created,8.75
49,danieltremblay,2023-11-03,rollingAvg_created,11.5
50,danieltremblay,2023-11-10,rollingAvg_created,10.75
51,danieltremblay,2023-11-17,rollingAvg_created,8.5
52,danieltremblay,2023-11-21,rollingAvg_created,8.5
53,danieltremblay,2023-11-24,rollingAvg_created,9.0
54,danieltremblay,2023-12-01,rollingAvg_created,9.25
55,danieltremblay,2023-12-04,rollingAvg_created,6.5
