,author_login,closedAt_Friday,variable,value
0,christyler3030,2023-08-18,rollingAvg_closed,
1,christyler3030,2023-08-25,rollingAvg_closed,
2,christyler3030,2023-09-01,rollingAvg_closed,
3,christyler3030,2023-09-08,rollingAvg_closed,1.75
4,christyler3030,2023-09-15,rollingAvg_closed,1.75
5,christyler3030,2023-09-22,rollingAvg_closed,1.25
6,christyler3030,2023-10-06,rollingAvg_closed,1.25
7,christyler3030,2023-10-13,rollingAvg_closed,1.0
8,christyler3030,2023-11-17,rollingAvg_closed,1.75
9,christyler3030,2023-11-24,rollingAvg_closed,2.25
10,christyler3030,2023-12-08,rollingAvg_closed,3.5
11,christyler3030,2023-12-15,rollingAvg_closed,3.75
12,christyler3030,2023-12-22,rollingAvg_closed,3.25
13,christyler3030,2024-01-05,rollingAvg_closed,2.75
14,christyler3030,2024-01-12,rollingAvg_closed,2.0
15,christyler3030,2024-01-19,rollingAvg_closed,2.25
16,christyler3030,2024-01-26,rollingAvg_closed,2.0
17,christyler3030,2024-02-02,rollingAvg_closed,2.25
18,christyler3030,2024-02-09,rollingAvg_closed,2.0
19,christyler3030,2024-02-16,rollingAvg_closed,2.25
20,christyler3030,2024-02-23,rollingAvg_closed,2.5
21,christyler3030,2024-03-01,rollingAvg_closed,2.75
22,christyler3030,2024-03-08,rollingAvg_closed,2.5
23,christyler3030,2024-03-15,rollingAvg_closed,2.0
24,christyler3030,2024-03-22,rollingAvg_closed,2.0
25,christyler3030,2024-03-29,rollingAvg_closed,1.5
26,christyler3030,2024-04-05,rollingAvg_closed,2.0
27,danieltremblay,2023-09-01,rollingAvg_closed,2.25
28,danieltremblay,2023-09-08,rollingAvg_closed,3.0
29,danieltremblay,2023-09-15,rollingAvg_closed,4.5
30,danieltremblay,2023-09-22,rollingAvg_closed,4.75
31,danieltremblay,2023-09-29,rollingAvg_closed,4.25
32,danieltremblay,2023-10-06,rollingAvg_closed,3.5
33,danieltremblay,2023-10-13,rollingAvg_closed,2.0
34,danieltremblay,2023-10-20,rollingAvg_closed,1.75
35,danieltremblay,2023-10-27,rollingAvg_closed,3.5
36,danieltremblay,2023-11-03,rollingAvg_closed,3.5
37,danieltremblay,2023-11-10,rollingAvg_closed,3.75
38,danieltremblay,2023-11-17,rollingAvg_closed,3.75
39,danieltremblay,2023-11-24,rollingAvg_closed,3.0
40,danieltremblay,2023-12-01,rollingAvg_closed,3.75
41,danieltremblay,2023-12-08,rollingAvg_closed,4.0
