,content_assignees_nodes_login,closedAt_Friday,variable,value
0,christyler3030,2023-08-25,rollingAvg_size_all,
1,christyler3030,2023-09-08,rollingAvg_size_all,
2,christyler3030,2023-09-15,rollingAvg_size_all,
3,christyler3030,2023-09-29,rollingAvg_size_all,1.25
4,christyler3030,2023-10-06,rollingAvg_size_all,2.125
5,christyler3030,2023-10-13,rollingAvg_size_all,1.375
6,christyler3030,2023-11-03,rollingAvg_size_all,1.875
7,christyler3030,2023-11-24,rollingAvg_size_all,3.625
8,christyler3030,2023-12-01,rollingAvg_size_all,4.75
9,christyler3030,2023-12-08,rollingAvg_size_all,5.0
10,christyler3030,2023-12-15,rollingAvg_size_all,6.75
11,christyler3030,2024-01-05,rollingAvg_size_all,4.75
12,christyler3030,2024-01-12,rollingAvg_size_all,3.5
13,christyler3030,2024-01-19,rollingAvg_size_all,6.25
14,christyler3030,2024-01-26,rollingAvg_size_all,4.875
15,christyler3030,2024-02-02,rollingAvg_size_all,5.625
16,christyler3030,2024-02-09,rollingAvg_size_all,6.5
17,christyler3030,2024-02-16,rollingAvg_size_all,4.25
18,christyler3030,2024-02-23,rollingAvg_size_all,3.25
19,christyler3030,2024-03-01,rollingAvg_size_all,3.0
20,christyler3030,2024-03-08,rollingAvg_size_all,2.625
21,christyler3030,2024-03-15,rollingAvg_size_all,2.0
22,christyler3030,2024-03-22,rollingAvg_size_all,3.25
23,christyler3030,2024-03-29,rollingAvg_size_all,3.75
24,christyler3030,2024-04-05,rollingAvg_size_all,2.875
25,danieltremblay,2023-09-01,rollingAvg_size_all,2.75
26,danieltremblay,2023-09-08,rollingAvg_size_all,2.125
27,danieltremblay,2023-09-15,rollingAvg_size_all,1.125
28,danieltremblay,2023-09-22,rollingAvg_size_all,0.75
29,danieltremblay,2023-09-29,rollingAvg_size_all,0.75
30,danieltremblay,2023-10-06,rollingAvg_size_all,1.5
31,danieltremblay,2023-10-13,rollingAvg_size_all,2.25
32,danieltremblay,2023-10-20,rollingAvg_size_all,9.0
33,danieltremblay,2023-10-27,rollingAvg_size_all,10.375
34,danieltremblay,2023-11-03,rollingAvg_size_all,11.625
35,danieltremblay,2023-11-10,rollingAvg_size_all,11.75
36,danieltremblay,2023-11-24,rollingAvg_size_all,7.875
37,danieltremblay,2023-12-01,rollingAvg_size_all,8.375
38,danieltremblay,2023-12-08,rollingAvg_size_all,8.875
39,danieltremblay,2023-12-22,rollingAvg_size_all,12.25
40,danieltremblay,2024-01-05,rollingAvg_size_all,9.375
41,danieltremblay,2024-01-12,rollingAvg_size_all,8.75
42,danieltremblay,2024-01-19,rollingAvg_size_all,6.125
43,danieltremblay,2024-01-26,rollingAvg_size_all,3.375
44,danieltremblay,2024-02-02,rollingAvg_size_all,3.75
45,danieltremblay,2024-02-09,rollingAvg_size_all,3.5
46,danieltremblay,2024-02-16,rollingAvg_size_all,3.875
47,danieltremblay,2024-03-22,rollingAvg_size_all,5.75
48,danieltremblay,2024-03-29,rollingAvg_size_all,5.875
49,erikchwang,2024-01-05,rollingAvg_size_all,5.125
50,erikchwang,2024-01-12,rollingAvg_size_all,5.625
51,erikchwang,2024-01-19,rollingAvg_size_all,3.25
52,erikchwang,2024-02-02,rollingAvg_size_all,4.625
53,erikchwang,2024-02-09,rollingAvg_size_all,4.5
54,erikchwang,2024-02-16,rollingAvg_size_all,3.5
55,erikchwang,2024-02-23,rollingAvg_size_all,2.5
56,erikchwang,2024-03-08,rollingAvg_size_all,1.875
57,erikchwang,2024-03-22,rollingAvg_size_all,5.0
